precip,snofall, snomlt,surq_gen,latq,wateryld,perc,et,tloss, eplant,esoil,surq_cont,cn,sw_init,sw_final,sw_ave, sw_300,sno_init,sno_final,snopack, pet,qtile, irr,surq_runon,latq_runon,overbank,surq_cha,surq_res,surq_ls,latq_cha,latq_res,latq_ls,flo_out
12.8,0,0,5.16E-02,5.28,5.33,7.91E-02,0.275,0,0,1.70E-02,5.16E-02,43.3,229,230,230,54.3,0,0,0,0.281,0,0,0,0,0,5.16E-02,0,0,5.28,0,0,1.4
6.63,0,0,6.87E-02,5.49,5.56,6.99E-02,4.87E-02,0,0,3.39E-03,6.87E-02,43.3,230,231,230,54.4,0,0,0,5.03E-02,0,0,0,0,0,6.87E-02,0,0,5.49,0,0,1.45
1.76E-03,0,0,9.66E-07,4.06,4.06,5.30E-02,5.74E-02,0,0,4.03E-03,0,43.3,231,230,230,54.2,0,0,0,5.89E-02,0,0,0,0,0,0,0,0,4.06,0,0,1
14,0,0,0.215,6.44,6.66,8.94E-02,0.183,0,0,8.99E-03,0.215,43.3,230,231,231,54.5,0,0,0,0.186,0,0,0,0,0,0.215,0,0,6.44,0,0,1.7
25.1,0,0,0.676,11,11.6,0.127,0.185,0,0,1.06E-02,0.676,43.3,231,234,232,54.8,0,0,0,0.189,0,0,0,0,0,0.676,0,0,11,0,0,2.88
10.7,0,0,0.337,10.6,11,9.81E-02,0.381,0,0,1.90E-02,0.337,43.3,234,234,234,54.8,0,0,0,0.389,0,0,0,0,0,0.337,0,0,10.6,0,0,2.57
17.8,0,0,0.571,12.2,12.7,0.119,0.111,0,0,6.03E-03,0.571,43.3,234,235,234,55,0,0,0,0.114,0,0,0,0,0,0.571,0,0,12.2,0,0,2.85
15.6,0,0,0.493,12.9,13.4,0.117,0.206,0,0,1.04E-02,0.493,43.3,235,235,235,55.1,0,0,0,0.21,0,0,0,0,0,0.493,0,0,12.9,0,0,3.1
6.96,0,0,0.16,11.1,11.3,9.42E-02,1.16,0,0,4.93E-02,0.16,43.3,235,235,235,55.1,0,0,0,1.17,0,0,0,0,0,0.16,0,0,11.1,0,0,2.54
18.7,0,0,0.568,12.7,13.2,0.122,0.451,0,0,2.06E-02,0.568,43.3,235,235,235,55.2,0,0,0,0.459,0,0,0,0,0,0.568,0,0,12.7,0,0,3.11
0,0,0,9.66E-07,9.32,9.32,7.52E-02,0.83,0,2.13E-04,4.48E-02,0,43.3,235,234,234,54.8,0,0,0,0.853,0,0,0,0,0,0,0,0,9.32,0,0,2.1
1.72,0.357,0.348,9.66E-07,6.99,6.99,6.97E-02,0.509,0,0,2.91E-02,0,43.3,234,233,233,54.7,0,0,0,0.518,0,0,0,0,0,0,0,0,6.99,0,0,1.54
28.8,0,9.37E-03,0.835,12.3,13.1,0.143,0.506,0,0,2.24E-02,0.835,43.3,233,235,234,55.2,0,0,0,0.514,0,0,0,0,0,0.835,0,0,12.3,0,0,3.06
